chr	start	end	breaks	predicted
1	0	49999	0.228164	0.221704516287648
1	50000	99999	0.380667	0.204645020179564
1	1e+05	149999	0.249105	0.213540366589744
1	150000	199999	0.0374808	0.0586473522233503
1	2e+05	249999	0.269956	0.14106490135267
1	250000	299999	0.113852	0.041368800053073
1	3e+05	349999	0.00244005	0.0365137845231536
1	350000	399999	0.00255005	0.0505416107562051
1	4e+05	449999	0.00301006	0.0781578998914889
1	450000	499999	0.00319007	0.0507904272689135
1	5e+05	549999	0.127943	0.300878789248015
1	550000	599999	0.096822	0.439827279019608
1	6e+05	649999	0.104812	0.112687458754529
1	650000	699999	0.185824	0.17951175523024
1	7e+05	749999	0.672264	1.32257030854484
1	750000	799999	1.07717	1.30568339755672
1	8e+05	849999	1.4615	1.4422243279732
1	850000	899999	1.13208	1.16565544934457
1	9e+05	949999	1.25539	1.31153325085911
1	950000	999999	1.17682	1.22721942141527
1	1e+06	1049999	1.06312	1.09561482181501
1	1050000	1099999	1.18115	1.20894889714549
1	1100000	1149999	1.17638	1.12887566841564
1	1150000	1199999	1.11678	1.24933222560764
1	1200000	1249999	1.47555	1.49366721145833
1	1250000	1299999	1.39331	1.31606128786408
1	1300000	1349999	1.4605	1.44003643619048
1	1350000	1399999	1.26107	1.27130430661232
1	1400000	1449999	1.25852	1.3911486031746
1	1450000	1499999	1.21799	1.10333479134078
1	1500000	1549999	1.29001	1.33929712023809
1	1550000	1599999	0.93459	1.36445241485149
1	1600000	1649999	0.92994	1.33912435737977
1	1650000	1699999	1.19249	1.39286565972222
1	1700000	1749999	1.28877	1.30745174110487
1	1750000	1799999	1.52142	1.3664171501938
1	1800000	1849999	1.44234	1.44661615183246
1	1850000	1899999	1.33649	1.05138371285461
1	1900000	1949999	1.12	0.90927885681746
1	1950000	1999999	1.12164	1.10280049621993
1	2e+06	2049999	0.929775	0.952091639496528
1	2050000	2099999	1.34355	1.34860794643545
1	2100000	2149999	1.39288	1.34171242633517
1	2150000	2199999	1.30473	1.36526850183044
1	2200000	2249999	1.17002	1.14769309376068
1	2250000	2299999	1.13378	1.01618151741573
1	2300000	2349999	1.26125	1.3118526257485
1	2350000	2399999	1.24962	1.30748424094203
1	2400000	2449999	1.1408	1.14418644130037
1	2450000	2499999	1.33345	1.40367047916667
1	2500000	2549999	0.992981	0.997663424122807
1	2550000	2599999	1.40794	1.18766186052189
1	2600000	2649999	1.33428	1.13070512329749
